
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    100.65.16.59:51435     184.73.251.77:443      ESTABLISHED
  TCP    100.65.16.59:56006     23.23.119.220:443      ESTABLISHED
  TCP    100.65.16.59:56019     23.23.119.220:443      ESTABLISHED
  TCP    127.0.0.1:843          0.0.0.0:0              LISTENING
  TCP    127.0.0.1:6942         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:9682         127.0.0.1:9683         ESTABLISHED
  TCP    127.0.0.1:9683         127.0.0.1:9682         ESTABLISHED
  TCP    127.0.0.1:9684         127.0.0.1:9685         ESTABLISHED
  TCP    127.0.0.1:9685         127.0.0.1:9684         ESTABLISHED
  TCP    127.0.0.1:10176        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:10177        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:17600        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:18781        127.0.0.1:18782        ESTABLISHED
  TCP    127.0.0.1:18782        127.0.0.1:18781        ESTABLISHED
  TCP    127.0.0.1:23730        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:38734        127.0.0.1:38735        ESTABLISHED
  TCP    127.0.0.1:38735        127.0.0.1:38734        ESTABLISHED
  TCP    127.0.0.1:39124        127.0.0.1:39125        ESTABLISHED
  TCP    127.0.0.1:39125        127.0.0.1:39124        ESTABLISHED
  TCP    127.0.0.1:40040        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:56868        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:56869        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:63342        0.0.0.0:0              LISTENING
  TCP    192.168.75.1:139       0.0.0.0:0              LISTENING
  TCP    192.168.101.1:53       0.0.0.0:0              LISTENING
  TCP    192.168.101.1:139      0.0.0.0:0              LISTENING
  TCP    192.168.101.1:8883     0.0.0.0:0              LISTENING
  TCP    192.168.101.1:22653    192.168.101.14:8008    TIME_WAIT
  TCP    192.168.101.1:22664    192.168.101.14:8008    TIME_WAIT
  TCP    192.168.101.1:22676    192.168.101.14:8008    TIME_WAIT
  TCP    192.168.101.1:36570    0.0.0.0:0              LISTENING
  TCP    192.168.101.1:36837    192.168.101.14:8009    ESTABLISHED
  TCP    192.168.160.1:139      0.0.0.0:0              LISTENING
  TCP    [::]:80                [::]:0                 LISTENING
  TCP    [::]:135               [::]:0                 LISTENING
  TCP    [::]:445               [::]:0                 LISTENING
  TCP    [::]:1536              [::]:0                 LISTENING
  TCP    [::]:1537              [::]:0                 LISTENING
  TCP    [::]:1538              [::]:0                 LISTENING
  TCP    [::]:1539              [::]:0                 LISTENING
  TCP    [::]:1540              [::]:0                 LISTENING
  TCP    [::]:1541              [::]:0                 LISTENING
  TCP    [::]:3306              [::]:0                 LISTENING
  TCP    [::]:5357              [::]:0                 LISTENING
  TCP    [::]:8083              [::]:0                 LISTENING
  TCP    [::]:8443              [::]:0                 LISTENING
  TCP    [::]:9675              [::]:0                 LISTENING
  TCP    [::]:9676              [::]:0                 LISTENING
  TCP    [::]:49152             [::]:0                 LISTENING
  TCP    [::]:49153             [::]:0                 LISTENING
  TCP    [::]:49154             [::]:0                 LISTENING
  TCP    [::]:49155             [::]:0                 LISTENING
  TCP    [::1]:22465            [::1]:49155            TIME_WAIT
  TCP    [::1]:22550            [::1]:49154            TIME_WAIT
  TCP    [::1]:22553            [::1]:49154            TIME_WAIT
  TCP    [::1]:22557            [::1]:49154            TIME_WAIT
  TCP    [::1]:22559            [::1]:49154            TIME_WAIT
  TCP    [::1]:22665            [::1]:49155            ESTABLISHED
  TCP    [::1]:49154            [::1]:50640            ESTABLISHED
  TCP    [::1]:49154            [::1]:50679            ESTABLISHED
  TCP    [::1]:49154            [::1]:52025            ESTABLISHED
  TCP    [::1]:49155            [::1]:22665            ESTABLISHED
  TCP    [::1]:50640            [::1]:49154            ESTABLISHED
  TCP    [::1]:50679            [::1]:49154            ESTABLISHED
  TCP    [::1]:52025            [::1]:49154            ESTABLISHED
  UDP    0.0.0.0:53             *:*                    
  UDP    0.0.0.0:69             *:*                    
  UDP    0.0.0.0:162            *:*                    
  UDP    0.0.0.0:3544           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5355           *:*                    
  UDP    0.0.0.0:9511           *:*                    
  UDP    0.0.0.0:9512           *:*                    
  UDP    0.0.0.0:49155          *:*                    
  UDP    0.0.0.0:49157          *:*                    
  UDP    0.0.0.0:49362          *:*                    
  UDP    0.0.0.0:49856          *:*                    
  UDP    0.0.0.0:50096          *:*                    
  UDP    0.0.0.0:50335          *:*                    
  UDP    0.0.0.0:52326          *:*                    
  UDP    0.0.0.0:52621          *:*                    
  UDP    0.0.0.0:52726          *:*                    
  UDP    0.0.0.0:53260          *:*                    
  UDP    0.0.0.0:53545          *:*                    
  UDP    0.0.0.0:54225          *:*                    
  UDP    0.0.0.0:54538          *:*                    
  UDP    0.0.0.0:56111          *:*                    
  UDP    0.0.0.0:56453          *:*                    
  UDP    0.0.0.0:57359          *:*                    
  UDP    0.0.0.0:57728          *:*                    
  UDP    0.0.0.0:59923          *:*                    
  UDP    0.0.0.0:59925          *:*                    
  UDP    0.0.0.0:61486          *:*                    
  UDP    0.0.0.0:63944          *:*                    
  UDP    0.0.0.0:65206          *:*                    
  UDP    100.65.16.59:137       *:*                    
  UDP    100.65.16.59:138       *:*                    
  UDP    100.65.16.59:1900      *:*                    
  UDP    100.65.16.59:2177      *:*                    
  UDP    100.65.16.59:16979     *:*                    
  UDP    100.65.16.59:49369     *:*                    
  UDP    100.65.16.59:65352     *:*                    
  UDP    127.0.0.1:1900         *:*                    
  UDP    127.0.0.1:49666        *:*                    
  UDP    127.0.0.1:57378        *:*                    
  UDP    127.0.0.1:65205        *:*                    
  UDP    127.0.0.1:65354        *:*                    
  UDP    192.168.75.1:137       *:*                    
  UDP    192.168.75.1:138       *:*                    
  UDP    192.168.75.1:1900      *:*                    
  UDP    192.168.75.1:2177      *:*                    
  UDP    192.168.75.1:65350     *:*                    
  UDP    192.168.101.1:53       *:*                    
  UDP    192.168.101.1:67       *:*                    
  UDP    192.168.101.1:137      *:*                    
  UDP    192.168.101.1:138      *:*                    
  UDP    192.168.101.1:1900     *:*                    
  UDP    192.168.101.1:2177     *:*                    
  UDP    192.168.101.1:65353    *:*                    
  UDP    192.168.160.1:137      *:*                    
  UDP    192.168.160.1:138      *:*                    
  UDP    192.168.160.1:1900     *:*                    
  UDP    192.168.160.1:2177     *:*                    
  UDP    192.168.160.1:65351    *:*                    
  UDP    [::]:547               *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5355              *:*                    
  UDP    [::]:49156             *:*                    
  UDP    [::]:49362             *:*                    
  UDP    [::]:49857             *:*                    
  UDP    [::]:50096             *:*                    
  UDP    [::]:50335             *:*                    
  UDP    [::]:52326             *:*                    
  UDP    [::]:53545             *:*                    
  UDP    [::]:54225             *:*                    
  UDP    [::]:54538             *:*                    
  UDP    [::]:56112             *:*                    
  UDP    [::]:59924             *:*                    
  UDP    [::]:59926             *:*                    
  UDP    [::]:63592             *:*                    
  UDP    [::1]:1900             *:*                    
  UDP    [::1]:65349            *:*                    
  UDP    [fe80::142e:3f26:5d0d:cbb6%20]:546  *:*                    
  UDP    [fe80::2daf:7e05:a01d:e2ec%2]:53  *:*                    
  UDP    [fe80::2daf:7e05:a01d:e2ec%2]:1900  *:*                    
  UDP    [fe80::2daf:7e05:a01d:e2ec%2]:2177  *:*                    
  UDP    [fe80::2daf:7e05:a01d:e2ec%2]:65348  *:*                    
  UDP    [fe80::59eb:3a9e:acb3:e128%13]:546  *:*                    
  UDP    [fe80::59eb:3a9e:acb3:e128%13]:1900  *:*                    
  UDP    [fe80::59eb:3a9e:acb3:e128%13]:2177  *:*                    
  UDP    [fe80::59eb:3a9e:acb3:e128%13]:65347  *:*                    
  UDP    [fe80::80c2:232c:2bab:e590%34]:1900  *:*                    
  UDP    [fe80::80c2:232c:2bab:e590%34]:2177  *:*                    
  UDP    [fe80::80c2:232c:2bab:e590%34]:65345  *:*                    
  UDP    [fe80::b99d:9a4f:f17a:3ae9%35]:1900  *:*                    
  UDP    [fe80::b99d:9a4f:f17a:3ae9%35]:2177  *:*                    
  UDP    [fe80::b99d:9a4f:f17a:3ae9%35]:65346  *:*                    
